"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","AVG","TTL"
"80","Calvin Ridley","WR","TEN","0","12.7","33.5","17.5","3.8","4.7","4.3","BYE","13.7","4","3.7","13.3","2.2","1","4.2","15","9.2","8.9","142.8"
"81","Ryan Tannehill","QB","FA","13.6","17.1","26.2","0","7.1","-","-","-","-","-","-","17.6","15","23.9","4.4","10","7.1","12.9","142"
"82","Aldrick Rosas","K","FA","10","7","10","4","14","7","6","7","-","9","10","12","15","10","0","10","10","8.8","141"
"83","Amari Cooper","WR","BUF","1.8","11.6","1.7","18.8","1","0","-","-","11.8","7.5","3.6","30","5.6","39.7","4.3","2","1.1","9.4","140.5"
"84","Robbie Gould","K","FA","11","14","7","9","0","15","6","7","10","13","-","3","5","9","15","9","6","8.7","139"
"85","Alex Smith","QB","FA","19.6","13.1","16.8","-","13.7","15.8","12.7","12.4","16.4","12.7","4.7","-","-","-","-","-","-","13.8","138"
"85","Brett Maher","K","FA","0","8","9","15","12","21","6","-","2","9","13","7","8","13","0","11","4","8.6","138"
"85","Stephen Gostkowski","K","FA","9","9","4","8","9","22","8","14","7","6","-","9","6","9","4","6","8","8.6","138"
"88","Mike Williams","WR","PIT","8.1","8.7","20.1","1.5","4.8","1.4","11.8","-","9","0","5.6","14.5","5.2","4.5","29.5","1.1","11.4","8.6","137.2"
"89","Joe Flacco","QB","IND","21.7","17.8","15.3","22.2","11.2","11.9","19.6","9.1","8.2","-","-","-","-","-","-","-","-","15.2","137.1"
"90","Kenny Golladay","WR","FA","11.4","14.9","11.3","7.4","15.8","-","3.7","1.2","5.4","13.8","17.3","9","5","0.5","14.6","5.8","-","9.1","137.1"
"91","Jarvis Landry","WR","FA","10.6","6.9","12.3","9.4","6.9","1.1","15.7","3.9","5","2.2","-","3","10.3","21.1","3.7","7.8","16.2","8.5","136.1"
"92","Matt Breida","RB","FA","5.1","21.9","11.7","7.1","12.1","12.1","-0.5","4.2","4.7","25.2","-","14","5.7","-","9.6","2.6","-","9.7","135.5"
"93","Julian Edelman","WR","FA","-","-","-","-","5.7","12.1","9.6","11.7","11.4","10.6","-","14.4","6","14.6","9","13","15.3","11.1","133.4"
"94","Sony Michel","RB","FA","-","4.1","4.9","17.2","17","22.6","1.5","-","-","3.1","-","20.5","7","5.7","5.9","17.6","5","10.2","132.1"
